DC_NOME;SG_ESTADO;CD_SITUACAO;VL_LATITUDE;VL_LONGITUDE;VL_ALTITUDE;DT_INICIO_OPERACAO;CD_ESTACAO
MARINGA;PR;Operante;-23,40527777;-51,93277777;548,51;20/11/2006;A835
MATEIROS;TO;Pane;-10,43444444;-45,92194443;791;24/10/2012;A040
MAUES;AM;Operante;-3,39888888;-57,67388888;25,49;21/04/2008;A122
MEDICILANDIA;PA;Pane;-3,51083333;-52,96333333;251,68;16/02/2008;A209
MINA DO PALITO;PA;Pane;-6,31999999;-55,78777777;259,88;27/09/2010;A246
MINEIROS;GO;Operante;-17,45472222;-52,60111111;862;23/11/2007;A026
MIRANDA;MS;Pane;-20,39555555;-56,43166666;132,49;01/11/2006;A722
MOCAMBINHO;MG;Operante;-15,085958;-44,016036;454;10/11/2007;A539
MONTALVANIA;MG;Operante;-14,40833333;-44,40416666;519,52;25/06/2007;A526
MONTE ALEGRE;PA;Pane;-2;-54,07638888;100,53;05/07/2012;A239
MONTE ALEGRE DE GOIAS;GO;Operante;-13,253521;-46,890326;551,33;06/06/2007;A032
MONTE VERDE;MG;Operante;-22,86166666;-46,04333333;1544,89;18/12/2004;A509
MONTEIRO;PB;Operante;-7,89444444;-37,12472221;606,39;21/08/2007;A334
MONTES CLAROS;MG;Operante;-16,68638888;-43,84388888;645,87;18/12/2002;A506
MORADA NOVA;CE;Operante;-5,13666666;-38,35666666;45,03;23/08/2007;A332
MORRETES;PR;Operante;-25,50888888;-48,80861111;50,31;12/03/2008;A873
MORRINHOS;GO;Operante;-17,745066;-49,101698;751,09;24/05/2001;A003
MOSSORO;RN;Pane;-4,90416666;-37,36694443;29,44;21/05/2007;A318
MOSTARDAS;RS;Operante;-31,24833333;-50,90638888;3,82;10/03/2008;A878
MURIAE;MG;Operante;-21,105;-42,37583332;282,79;29/08/2006;A517
NATAL;RN;Operante;-5,83722221;-35,20805555;47,46;23/02/2003;A304
NHUMIRIM;MS;Pane;-18,9886111;-56,62277777;102,26;01/08/2006;A717
NITEROI;RJ;Operante;-22,867389;-43,102056;6;12/07/2018;A627
NOSSA SENHORA DA GLORIA;SE;Pane;-10,20777777;-37,43194443;271;23/03/2017;A453
NOVA FATIMA;PR;Operante;-23,41527777;-50,57777777;664,31;07/02/2007;A842
NOVA FRIBURGO - SALINAS;RJ;Operante;-22,33472221;-42,67694443;1070;17/09/2010;A624
NOVA MARINGA;MT;Pane;-13,0386111;-57,09222221;334,36;15/04/2008;A928
NOVA PORTEIRINHA (JANAUBA);MG;Operante;-15,80277777;-43,29694444;532;18/11/2016;A563
NOVA TEBAS;PR;Pane;-24,43722221;-51,96305555;656,24;20/12/2006;A822
NOVA UBIRATA;MT;Pane;-13,41111111;-54,75222222;466,48;12/04/2008;A929
NOVA VENECIA;ES;Operante;-18,69527777;-40,39055555;156,02;21/06/2008;A623
NOVO ARIPUANA;AM;Operante;-8,0911111;-60,38055554;45;17/07/2019;A144
NOVO HORIZONTE;SC;Pane;-26,40638888;-52,85027777;943,57;19/09/2008;A816
NOVO REPARTIMENTO;PA;Operante;-4,24388888;-49,93944444;100,76;22/07/2008;A235
OBIDOS;PA;Pane;-1,88083332;-55,51972221;89,64;04/07/2012;A232
OEIRAS;PI;Pane;-6,97416666;-42,14694444;154,03;21/07/2008;A354
OIAPOQUE;AP;Operante;3,81361111;-51,8625;15,14;10/09/2008;A242
OLIVEIRA;MG;Operante;-20,715;-44,86444444;1025;18/10/2017;A570
OURICURI;PE;Pane;-7,88583333;-40,10277777;457,85;10/08/2010;A366
OURINHOS;SP;Pane;-22,94888888;-49,89444444;443,49;28/08/2006;A716
OURO BRANCO;MG;Operante;-20,55666666;-43,75611111;1048,2;27/07/2006;A513
PACAJA;PA;Pane;-3,8436111;-50,63805555;89,02;26/02/2008;A210
PALMARES;PE;Pane;-8,66666666;-35,56805554;164,01;03/09/2008;A357
PALMAS;TO;Operante;-10,19083333;-48,30194444;291,87;16/12/2004;A009
PALMEIRA DAS MISSOES;RS;Operante;-27,92027777;-53,31805554;614,11;25/02/2008;A856
PALMEIRA DOS INDIOS;AL;Operante;-9,42027777;-36,62027777;278,01;10/07/2007;A327
PAO DE ACUCAR;AL;Pane;-9,74916666;-37,43083332;20,83;13/07/2007;A323
PARACATU;MG;Operante;-17,24444444;-46,88166666;705;15/03/2018;A571
PARAGOMINAS;PA;Pane;-2,9911111;-47,35638888;93;17/10/2007;A212
PARANA;TO;Operante;-12,615;-47,87194443;284,96;03/03/2005;A010
PARANAIBA;MS;Operante;-19,69555555;-51,18166666;408,06;09/11/2006;A710
PARANAPOEMA;PR;Operante;-22,65833333;-52,13444444;308,7;03/03/2008;A850
PARANATINGA;MT;Operante;-14,42138888;-54,0361111;476,91;18/12/2006;A915
PARANOA (COOPA-DF);DF;Operante;-16,012222;-47,557417;1043;06/02/2017;A047
PARATY;RJ;Operante;-23,2236111;-44,72694443;3;18/11/2006;A619
PARAUNA;GO;Operante;-16,962536;-50,42545;678,74;28/03/2008;A027
PARINTINS;AM;Pane;-2,63916666;-56,75611111;18,72;10/04/2008;A123
PARNAIBA;PI;Operante;-3,08666666;-41,78305554;52,11;05/02/2003;A308
PARQUE ESTADUAL CHANDLESS;AC;Operante;-9,35833333;-69,92638888;184,51;04/08/2008;A102
PASSA QUATRO;MG;Operante;-22,395799;-44,961909;1017,1;29/05/2007;A529
PASSO FUNDO;RS;Operante;-28,226805;-52,403582;680,67;26/11/2006;A839
PASSOS;MG;Operante;-20,745237;-46,633916;781,7;15/07/2006;A516
PATOS;PB;Operante;-7,07972221;-37,27277777;263,66;20/07/2007;A321
PATOS DE MINAS;MG;Operante;-18,52055554;-46,44055555;950;11/05/2017;A562
PATROCINIO;MG;Operante;-18,996684;-46,985935;978,11;21/08/2006;A523
PAULISTANA;PI;Operante;-8,132288;-41,142945;376;30/08/2007;A330
PEDRO AFONSO;TO;Pane;-8,9686111;-48,17722221;189,71;22/01/2007;A020
PEIXE;TO;Operante;-12,015377;-48,544517;250,87;30/11/2006;A018
PETROLINA;PE;Operante;-9,388323;-40,523262;372,72;20/02/2003;A307
PIATA;BA;Operante;-13,155681;-41,774125;1283,95;02/05/2008;A430
PICO DO COUTO;RJ;Operante;-22,46472222;-43,29138888;1777;21/10/2006;A610
PICOS;PI;Operante;-7,0711111;-41,40416666;232,91;11/12/2008;A343
PILAO ARCADO;BA;Pane;-10,01833332;-42,50027777;385;27/05/2016;A449
PIRACICABA;SP;Operante;-22,70305555;-47,62333332;566,46;25/09/2006;A726
PIRANHAS;AL;Operante;-9,62222221;-37,76722221;187;19/09/2017;A371
